code_type,code_version,codes,Description,bill_type,cancer_type,cancer,net,newly_identified
DIAG,ICD9,0110,Tuberculosis of lung infiltrative,0.0,,N,,
DIAG,ICD9,01100,"Tuberculosis of lung, infiltrative, unspecified",1.0,,N,,
DIAG,ICD9,01101,"Tuberculosis of lung, infiltrative, bacteriological or histological examination not done",1.0,,N,,
DIAG,ICD9,01102,"Tuberculosis of lung, infiltrative, bacteriological or histological examination unknown (at present)",1.0,,N,,
DIAG,ICD9,01103,"Tuberculosis of lung, infiltrative, tubercle bacilli found (in sputum) by microscopy",1.0,,N,,
DIAG,ICD9,01104,"Tuberculosis of lung, infiltrative, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1.0,,N,,
DIAG,ICD9,01105,"Tuberculosis of lung, infiltrative, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1.0,,N,,
DIAG,ICD9,01106,"Tuberculosis of lung, infiltrative, tubercle bacilli not found bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1.0,,N,,
DIAG,ICD9,0111,Tuberculosis of lung nodular,0.0,,N,,
DIAG,ICD9,01110,"Tuberculosis of lung, nodular, unspecified",1.0,,N,,
DIAG,ICD9,01111,"Tuberculosis of lung, nodular, bacteriological or histological examination not done",1.0,,N,,
DIAG,ICD9,01112,"Tuberculosis of lung, nodular, bacteriological or histological examination unknown (at present)",1.0,,N,,
DIAG,ICD9,01113,"Tuberculosis of lung, nodular, tubercle bacilli found (in sputum) by microscopy",1.0,,N,,
DIAG,ICD9,01114,"Tuberculosis of lung, nodular, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1.0,,N,,
DIAG,ICD9,01115,"Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1.0,,N,,
DIAG,ICD9,01116,"Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1.0,,N,,
DIAG,ICD9,0112,Tuberculosis of lung with cavitation,0.0,,N,,
DIAG,ICD9,01120,"Tuberculosis of lung with cavitation, unspecified",1.0,,N,,
DIAG,ICD9,01121,"Tuberculosis of lung with cavitation, bacteriological or histological examination not done",1.0,,N,,
DIAG,ICD9,01122,"Tuberculosis of lung with cavitation, bacteriological or histological examination unknown (at present)",1.0,,N,,
DIAG,ICD9,01123,"Tuberculosis of lung with cavitation, tubercle bacilli found (in sputum) by microscopy",1.0,,N,,
DIAG,ICD9,01124,"Tuberculosis of lung with cavitation, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1.0,,N,,
DIAG,ICD9,01125,"Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1.0,,N,,
DIAG,ICD9,01126,"Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1.0,,N,,
DIAG,ICD9,0113,Tuberculosis of bronchus,0.0,,N,,
DIAG,ICD9,01130,"Tuberculosis of bronchus, unspecified",1.0,,N,,
DIAG,ICD9,01131,"Tuberculosis of bronchus, bacteriological or histological examination not done",1.0,,N,,
DIAG,ICD9,01132,"Tuberculosis of bronchus, bacteriological or histological examination unknown (at present)",1.0,,N,,
DIAG,ICD9,01133,"Tuberculosis of bronchus, tubercle bacilli found (in sputum) by microscopy",1.0,,N,,
DIAG,ICD9,01134,"Tuberculosis of bronchus, tubercle bacilli not found (in sputum) by microscopy, but found in bacterial culture",1.0,,N,,
DIAG,ICD9,01135,"Tuberculosis of bronchus, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1.0,,N,,
DIAG,ICD9,01136,"Tuberculosis of bronchus, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1.0,,N,,
DIAG,ICD9,0114,Tuberculous fibrosis of lung,0.0,,N,,
DIAG,ICD9,01140,"Tuberculous fibrosis of lung, unspecified",1.0,,N,,
DIAG,ICD9,01141,"Tuberculous fibrosis of lung, bacteriological or histological examination not done",1.0,,N,,
DIAG,ICD9,01142,"Tuberculous fibrosis of lung, bacteriological or histological examination unknown (at present)",1.0,,N,,
DIAG,ICD9,01143,"Tuberculous fibrosis of lung, tubercle bacilli found (in sputum) by microscopy",1.0,,N,,
DIAG,ICD9,01144,"Tuberculous fibrosis of lung, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1.0,,N,,
DIAG,ICD9,01145,"Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1.0,,N,,
DIAG,ICD9,01146,"Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1.0,,N,,
DIAG,ICD9,0115,Tuberculous bronchiectasis,0.0,,N,,
DIAG,ICD9,01150,"Tuberculous bronchiectasis, unspecified",1.0,,N,,
DIAG,ICD9,01151,"Tuberculous bronchiectasis, bacteriological or histological examination not done",1.0,,N,,
DIAG,ICD9,01152,"Tuberculous bronchiectasis, bacteriological or histological examination unknown (at present)",1.0,,N,,
DIAG,ICD9,01153,"Tuberculous bronchiectasis, tubercle bacilli found (in sputum) by microscopy",1.0,,N,,
DIAG,ICD9,01154,"Tuberculous bronchiectasis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1.0,,N,,
DIAG,ICD9,01155,"Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1.0,,N,,
DIAG,ICD9,01156,"Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1.0,,N,,
DIAG,ICD9,0116,Tuberculous pneumonia (any form),0.0,,N,,
DIAG,ICD9,01160,"Tuberculous pneumonia [any form], unspecified",1.0,,N,,
